更新时间,#genre#
广东综艺4K(CMCC),http://192.168.31.254:7088/udp/239.10.0.75:1025
嘉佳卡通(CMCC),http://192.168.31.254:7088/udp/239.10.0.200:1025
岭南戏曲(CMCC),http://192.168.31.254:7088/udp/239.10.0.125:1025
广州综合(CMCC),http://192.168.31.254:7088/udp/239.11.0.138:1025
广州新闻(CMCC),http://192.168.31.254:7088/udp/239.11.0.139:1025
广州影视(CMCC),http://192.168.31.254:7088/udp/239.11.0.140:1025
广州法治(CMCC),http://192.168.31.254:7088/udp/239.11.0.141:1025
广州竞赛(CMCC),http://192.168.31.254:7088/udp/239.11.0.142:1025
佛山公共(CMCC),http://192.168.31.254:7088/udp/239.11.0.114:1025
佛山影视(CMCC),http://192.168.31.254:7088/udp/239.11.0.117:1025
佛山综合(CMCC),http://192.168.31.254:7088/udp/239.11.0.118:1025
南海频道(CMCC),http://192.168.31.254:7088/udp/239.11.0.115:1025
顺德频道(CMCC),http://192.168.31.254:7088/udp/239.11.0.116:1025
梅州综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.149:3940
梅州客家生活(CMCC),http://192.168.31.254:7088/udp/239.21.0.150:3944
东莞新闻综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.137:3892
东莞生活资讯(CMCC),http://192.168.31.254:7088/udp/239.21.0.138:3896
中山综合(CMCC),http://192.168.31.254:7088/udp/239.11.0.122:1025
香山文化(CMCC),http://192.168.31.254:7088/udp/239.11.0.123:1025
河源公共(CMCC),http://192.168.31.254:7088/udp/239.21.0.49:3536
河源综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.48:3532
惠州都市生活(CMCC),http://192.168.31.254:7088/udp/239.21.0.28:3452
惠州综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.27:3448
江门教育(CMCC),http://192.168.31.254:7088/udp/239.10.0.152:1025
江门侨乡生活(CMCC),http://192.168.31.254:7088/udp/239.10.0.139:1025
江门综合(CMCC),http://192.168.31.254:7088/udp/239.10.0.219:1025
茂名文化生活(CMCC),http://192.168.31.254:7088/udp/239.11.0.99:1025
茂名综合(CMCC),http://192.168.31.254:7088/udp/239.10.0.238:1025
清远文旅生活(CMCC),http://192.168.31.254:7088/udp/239.11.0.75:1025
清远综合(CMCC),http://192.168.31.254:7088/udp/239.11.0.74:1025
汕尾文化生活(CMCC),http://192.168.31.254:7088/udp/239.21.0.90:3700
汕尾新闻综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.89:3696
韶关绿色生活(CMCC),http://192.168.31.254:7088/udp/239.11.0.85:1025
韶关综合(CMCC),http://192.168.31.254:7088/udp/239.11.0.84:1025
云浮文旅(CMCC),http://192.168.31.254:7088/udp/239.11.0.97:1025
